Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6821358,"Krev elfů (Zaklínač, #3)",Andrzej Sapkowski,"Sapkowski, Andrzej",Stanislav Komárek,"=""8085951053""","=""9788085951059""",0,Leonardo,Paperback,306,1998,1994,,2026/05/10,,,read,,,,0,0
12664659,"Meč osudu (Zaklínač, #2)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""8085951665""","=""9788085951660""",0,Leonardo,Paperback,394,2011,1992,,2026/05/10,,,read,,,,0,0
12664642,"Poslední přání (Zaklínač, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""""","=""9788085951653""",0,Leonardo,Paperback,342,2011,1993,,2026/05/10,,,read,,,,0,0
59644096,"Černá píseň (Raven's Blade, #2)",Anthony Ryan,"Ryan, Anthony",Jakub Němeček,"=""""","=""""",0,Host,Hardcover,557,2021,2020,,2026/05/10,,,read,,,,0,0
56140648,"Volání vlka (Raven's Blade, #1)",Anthony Ryan,"Ryan, Anthony",Jakub Němeček,"=""8027503361""","=""9788027503360""",0,Host,Hardcover,560,2020,2019,,2026/05/10,,,read,,,,0,0
28090579,"Pán věže (Stín krkavce, #2)",Anthony Ryan,"Ryan, Anthony",Jakub Kalina,"=""""","=""9788074915093""",0,Host,Hardcover,672,2015,2014,,2026/05/10,,,read,,,,0,0
23593209,"Píseň krve (Stín krkavce, #1)",Anthony Ryan,"Ryan, Anthony",Jakub Kalina,"=""""","=""9788074911736""",0,Host,Hardcover,624,2014,2011,,2026/05/10,,,read,,,,0,0
15706995,"Tanec s draky (Píseň ledu a ohně, #5)",George R.R. Martin,"Martin, George R.R.",Hana Březáková,"=""8071974471""","=""9788071974475""",0,Talpress,Hardcover,1184,2012,2011,,2026/05/10,,,read,,,,0,0
14896965,"Hostina pro vrány (Píseň ledu a ohně, #4)",George R.R. Martin,"Martin, George R.R.",Hana Březáková,"=""""","=""""",0,Talpress,Hardcover,864,2012,2005,,2026/05/10,,,read,,,,0,0
13086379,"Bouře mečů (Píseň ledu a ohně, #3)",George R.R. Martin,"Martin, George R.R.",Hana Březáková,"=""8071974366""","=""9788071974369""",0,Talpress,Hardcover,1198,2011,2000,,2026/05/10,,,read,,,,0,0
12422394,"Střet králů (Píseň ledu a ohně, #2)",George R.R. Martin,"Martin, George R.R.",Hana Březáková,"=""807197434X""","=""9788071974345""",0,Talpress,Hardcover,944,2011,1998,,2026/05/10,,,read,,,,0,0
12351903,"Hra o trůny (Píseň ledu a ohně, #1)",George R.R. Martin,"Martin, George R.R.",Hana Březáková,"=""8071974129""","=""9788071974123""",0,Talpress,Hardcover,848,2011,1996,,2026/05/10,,,read,,,,0,0
21324349,"Valour (The Faithful and the Fallen, #2)",John Gwynne,"Gwynne, John",,"=""0230771432""","=""""",0,Pan,Kindle Edition,673,2014,2014,,2026/05/09,currently-reading,currently-reading (#1),currently-reading,,,,1,0
63251772,"The Traitor (Covenant of Steel, #3)",Anthony Ryan,"Ryan, Anthony",,"=""0316430838""","=""9780316430838""",5,Orbit,Paperback,576,2023,2023,2026/05/10,2026/05/09,,,read,,,,1,0
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",4,Ballantine Books,ebook,258,2008,1968,2026/04/28,2026/05/09,,,read,,,,1,0
55888522,Putinovi trollové,Jessikka Aro,"Aro, Jessikka",Lenka Fárová,"=""8090792219""","=""9788090792210""",0,N media,Paperback,384,2020,2019,,2026/05/09,did-not-finish,did-not-finish (#7),did-not-finish,,,,0,0
58489188,Babišovo Palermo I,Jaroslav Kmenta,"Kmenta, Jaroslav",,"=""8087569431""","=""9788087569436""",0,JKM,Hardcover,380,2021,2021,,2026/05/09,did-not-finish,did-not-finish (#6),did-not-finish,,,,0,0
55727355,Pandemie,Michal Kubal,"Kubal, Michal",Vojtěch Gibiš,"=""807662097X""","=""9788076620971""",0,Kniha Zlín,ebook,648,2020,,,2026/05/09,did-not-finish,did-not-finish (#5),did-not-finish,,,,0,0
6562917,"Mein Kampf: Adolf Hitler's Totalitarian Vision—Essential Lessons in Vigilance, Responsibility, and Opposing Evil",Adolf Hitler,"Hitler, Adolf","Abraham Foxman, Ralph Manheim","=""""","=""""",0,Harper,Kindle Edition,722,,1925,,2026/05/09,did-not-finish,did-not-finish (#4),did-not-finish,,,,0,0
41458506,Chaos: Vznik nové vědy,James Gleick,"Gleick, James","Jaroslav Sedlář, Renata Kamenická","=""8086047040""","=""""",0,Ando Publishing,Paperback,352,1996,1987,,2026/05/09,did-not-finish,did-not-finish (#3),did-not-finish,,,,0,0
55019161,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,"Brown, Dan",,"=""""","=""""",0,Anchor,Paperback,480,2020,2003,,2026/05/09,to-read,to-read (#2),to-read,,,,0,0
